# Запуск 2026-05-13T12:42:36
# формат: название товара | имя файла | причина
Колдовские деньги  свеча - программа | 16364.png | файл не найден в папке images
Колдовские деньги  свеча - программа | 16365.png | файл не найден в папке images
Скажи Люблю! свеча - программа | 16381.png | файл не найден в папке images
Скажи Люблю! свеча - программа | 16382.png | файл не найден в папке images
Скажи Люблю! свеча - программа | 16383.png | файл не найден в папке images
"Денежный щит" свеча 2 и 3 действия | 16418.jpg | файл не найден в папке images
"Денежный щит" свеча 2 и 3 действия | 16422.jpg | файл не найден в папке images
"Денежный щит" свеча 2 и 3 действия | 16424.jpg | файл не найден в папке images
Крылья Ангела свеча 2 и 3 действия | 16425.png | файл не найден в папке images
Крылья Ангела свеча 2 и 3 действия | 16427.png | файл не найден в папке images
Крылья Ангела свеча 2 и 3 действия | 16426.png | файл не найден в папке images
Молот ведьм свеча 2 и 3 действия | 16428.jpg | файл не найден в папке images
Молот ведьм свеча 2 и 3 действия | 16430.jpg | файл не найден в папке images
Молот ведьм свеча 2 и 3 действия | 16429.jpg | файл не найден в папке images
Правило и правильно свеча 2 и 3 действия | 16436.jpg | файл не найден в папке images
Правило и правильно свеча 2 и 3 действия | 16434.jpg | файл не найден в папке images
Правило и правильно свеча 2 и 3 действия | 16435.jpg | файл не найден в папке images
Предсказательная свеча 2 и 3 действия | 4636.jpg | файл не найден в папке images
Свеча Мерлина свеча 2 и 3 действия | 10105.jpg | файл не найден в папке images
Сила и защита свеча 2 и 3 действия | 16438.jpg | файл не найден в папке images
Сила и защита свеча 2 и 3 действия | 16437.jpg | файл не найден в папке images
Сила и защита свеча 2 и 3 действия | 16439.jpg | файл не найден в папке images
Сила слова свеча 2 и 3 действия | 16440.jpg | файл не найден в папке images
Сила слова свеча 2 и 3 действия | 16442.jpg | файл не найден в папке images
Сила слова свеча 2 и 3 действия | 16441.jpg | файл не найден в папке images
Успех в начинаниях свеча 2 и 3 действия | 16443.jpg | файл не найден в папке images
Успех в начинаниях свеча 2 и 3 действия | 16445.jpg | файл не найден в папке images
Успех в начинаниях свеча 2 и 3 действия | 16444.jpg | файл не найден в папке images
Целитель свеча 2 и 3 действия | 16446.jpg | файл не найден в папке images
Целитель свеча 2 и 3 действия | 16448.jpg | файл не найден в папке images
Целитель свеча 2 и 3 действия | 16447.jpg | файл не найден в папке images
Щит любви свеча 2 и 3 действия | 16450.jpg | файл не найден в папке images
Щит любви свеча 2 и 3 действия | 16449.jpg | файл не найден в папке images
Щит любви свеча 2 и 3 действия | 16451.jpg | файл не найден в папке images
Дьявольская сила свеча 2 и 3 действия | 16419.jpg | файл не найден в папке images
Дьявольская сила свеча 2 и 3 действия | 16420.jpg | файл не найден в папке images
Дьявольская сила свеча 2 и 3 действия | 16421.jpg | файл не найден в папке images
Закон Вселенной свеча 2 и 3 действия | 10112.jpg | файл не найден в папке images
Мистический Рыцарь свеча 2 и 3 действия | 10113.jpg | файл не найден в папке images
Обыкновенное чудо свеча 2 и 3 действия | 16431.png | файл не найден в папке images
Обыкновенное чудо свеча 2 и 3 действия | 16433.png | файл не найден в папке images
Обыкновенное чудо свеча 2 и 3 действия | 16432.png | файл не найден в папке images
Судьбоносное решение  свеча 2 и 3 действия | 10115.jpg | файл не найден в папке images
